date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:59	127/127	---M-Z	200	added ('OK')	text/plain	date:Sun,%2018%20Aug%202024%2014:02:59%20GMT	https://gh.usembassy.gov/robots.txt		(from )
15:03:01	138099/138099	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:01%20GMT	https://gh.usembassy.gov/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/index.html	(from )
15:03:04	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/ghana/www.google-analytics.com/analytics.js	(from https://gh.usembassy.gov/)
15:03:04	112419/112419	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202024%2020:43:15%20GMT	https://gh.usembassy.gov/wp-includes/css/dist/block-library/style.min.css?ver=bedd5ad5187a0c99b30ea2a3cb230b2d	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-includes/css/dist/block-library/style.min627f.css	(from https://gh.usembassy.gov/)
15:03:05	26/26	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202024%2020:43:17%20GMT	https://gh.usembassy.gov/wp-content/plugins/sharethis-share-buttons/css/mu-style.css?ver=1723149797	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/plugins/sharethis-share-buttons/css/mu-styleb8d3.css	(from https://gh.usembassy.gov/)
15:03:05	2894/2894	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202024%2020:43:16%20GMT	https://gh.usembassy.gov/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.8	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/plugins/contact-form-7/includes/css/stylese2db.css	(from https://gh.usembassy.gov/)
15:03:06	69125/69125	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202024%2020:43:17%20GMT	https://gh.usembassy.gov/wp-content/plugins/ubermenu/pro/assets/css/ubermenu.min.css?ver=3.8.5	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/plugins/ubermenu/pro/assets/css/ubermenu.min38b5.css	(from https://gh.usembassy.gov/)
15:03:06	3909/3909	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202024%2020:43:17%20GMT	https://gh.usembassy.gov/wp-content/plugins/ubermenu/pro/assets/css/skins/white.css?ver=bedd5ad5187a0c99b30ea2a3cb230b2d	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/plugins/ubermenu/pro/assets/css/skins/white627f.css	(from https://gh.usembassy.gov/)
15:03:07	59305/59305	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202024%2020:43:17%20GMT	https://gh.usembassy.gov/wp-content/plugins/ubermenu/assets/fontawesome/css/all.min.css?ver=bedd5ad5187a0c99b30ea2a3cb230b2d	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/plugins/ubermenu/assets/fontawesome/css/all.min627f.css	(from https://gh.usembassy.gov/)
15:03:09	297315/297315	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/styles/main-aa88a3d4.css?ver=1.0.0	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/styles/main-aa88a3d48a54.css	(from https://gh.usembassy.gov/)
15:03:09	35973/35973	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-8c85%22	http://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css?ver=1.0.0	C:/My%20Web%20Sites/ghana/code.jquery.com/ui/1.12.1/themes/base/jquery-ui8a54.css	(from https://gh.usembassy.gov/)
15:03:09	2691/2691	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/styles/flipbox-160aa2f6.css?ver=1.0.0	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/styles/flipbox-160aa2f68a54.css	(from https://gh.usembassy.gov/)
15:03:10	102217/102217	---MCZ	200	added ('OK')	text/css	etag:W/%225222e06b77a1692fa2520a219840e6be%22	http://use.fontawesome.com/releases/v6.4.2/css/all.css?ver=6.4.2	C:/My%20Web%20Sites/ghana/use.fontawesome.com/releases/v6.4.2/css/all1e39.css	(from https://gh.usembassy.gov/)
15:03:10	1341/1341	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Aug%202024%2020:43:17%20GMT	https://gh.usembassy.gov/wp-content/plugins/post-content-shortcodes/styles/default-styles.css?ver=1.0	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/plugins/post-content-shortcodes/styles/default-styles5152.css	(from https://gh.usembassy.gov/)
15:03:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Aug%202024%2014:03:11%20GMT	http://platform-api.sharethis.com/js/sharethis.js?ver=2.3.2	C:/My%20Web%20Sites/ghana/platform-api.sharethis.com/js/sharethis.c95b8.delayed	(from https://gh.usembassy.gov/)
